Altitude,Speed,Radar_Cross_Section,Acoustic_Signature,Thermal_Signature,RF_Signal_Strength,Target_Type
434.72,31.83,0.29,46.18,57.32,58.22,Single Drone
896.43,16.84,0.34,57.98,45.19,26.62,Single Drone
198.09,7.11,0.04,27.7,39.11,0.0,Bird
120.78,5.71,0.03,15.02,38.54,0.0,Bird
81.36,16.19,0.03,27.1,38.04,0.0,Bird
909.83,24.87,5.96,100.91,90.39,82.29,Drone Swarm
56.06,7.93,0.03,14.69,39.6,0.0,Bird
664.34,29.22,3.31,93.94,80.28,117.31,Drone Swarm
96.67,21.6,4.24,108.75,70.87,73.7,Drone Swarm
142.25,14.83,0.03,14.13,39.26,0.0,Bird
306.08,22.09,4.4,102.54,77.47,94.92,Drone Swarm
879.16,12.64,3.56,91.97,73.43,102.61,Drone Swarm
262.7,41.96,5.61,80.09,85.43,77.84,Drone Swarm
50.15,27.1,1.97,91.33,75.41,99.55,Drone Swarm
472.34,16.14,0.33,56.88,55.74,44.9,Single Drone
612.13,15.08,0.26,48.05,51.33,25.63,Single Drone
429.53,38.59,2.27,109.0,85.03,109.24,Drone Swarm
62.94,22.35,0.04,19.09,40.9,0.0,Bird
647.3,47.75,0.47,51.73,58.73,51.05,Single Drone
763.59,15.09,5.43,105.68,81.95,87.47,Drone Swarm
669.9,33.22,2.54,78.06,78.74,100.84,Drone Swarm
567.76,31.5,4.86,89.86,74.73,82.74,Drone Swarm
78.88,19.36,1.91,81.54,97.1,86.9,Drone Swarm
406.92,30.06,5.82,96.73,82.02,100.57,Drone Swarm
189.15,18.67,0.04,14.01,39.97,0.0,Bird
705.35,25.82,3.11,79.45,71.17,101.09,Drone Swarm
95.96,17.04,0.04,26.17,40.7,0.0,Bird
334.45,12.28,0.12,62.91,60.7,34.05,Single Drone
276.78,38.02,4.16,90.14,81.04,109.77,Drone Swarm
785.99,26.24,2.04,98.37,92.33,114.5,Drone Swarm
954.65,22.8,0.2,42.25,61.62,25.11,Single Drone
86.14,24.69,0.03,12.12,38.57,0.0,Bird
20.71,21.06,0.01,29.36,39.86,0.0,Bird
469.22,21.49,3.12,92.1,82.2,110.23,Drone Swarm
37.17,14.09,0.03,21.62,40.39,0.0,Bird
985.69,16.53,4.44,89.96,90.0,115.45,Drone Swarm
205.44,29.08,0.29,55.5,50.31,38.06,Single Drone
17.47,22.6,0.04,21.43,38.7,0.0,Bird
123.51,13.68,0.05,14.68,41.23,0.0,Bird
943.82,30.74,1.54,92.0,71.6,104.34,Drone Swarm
117.98,8.02,0.03,13.23,40.07,0.0,Bird
130.0,16.91,0.2,54.49,63.77,23.07,Single Drone
445.87,40.8,2.47,102.99,86.7,102.6,Drone Swarm
636.33,38.55,0.21,48.14,47.15,55.75,Single Drone
145.16,24.39,4.26,86.7,98.18,118.83,Drone Swarm
197.04,16.21,0.01,22.46,41.81,0.0,Bird
586.57,28.59,3.3,89.25,94.14,86.81,Drone Swarm
53.03,10.2,0.04,13.21,39.66,0.0,Bird
122.08,13.47,0.02,24.5,41.49,0.0,Bird
430.34,31.25,0.45,47.94,56.76,32.6,Single Drone
33.69,10.3,0.04,14.53,37.07,0.0,Bird
742.8,16.05,5.93,101.64,73.54,98.86,Drone Swarm
41.59,17.72,0.02,11.01,37.93,0.0,Bird
61.95,11.15,0.05,25.19,41.57,0.0,Bird
99.07,25.84,0.43,53.57,47.21,31.55,Single Drone
687.23,40.56,0.17,67.33,49.93,50.08,Single Drone
174.74,20.6,0.03,24.47,37.76,0.0,Bird
61.05,16.76,0.04,22.07,39.33,0.0,Bird
482.79,47.54,0.13,57.72,57.76,27.81,Single Drone
199.41,8.95,0.02,21.24,37.71,0.0,Bird
43.32,16.96,0.04,29.49,39.01,0.0,Bird
146.78,14.53,0.44,69.88,53.84,34.31,Single Drone
351.1,11.51,4.88,83.79,97.15,76.84,Drone Swarm
790.63,17.54,1.96,100.17,95.15,95.11,Drone Swarm
724.9,18.02,0.31,66.17,46.94,28.1,Single Drone
329.61,24.9,5.46,94.45,89.81,91.84,Drone Swarm
52.33,21.85,3.12,103.52,98.43,80.51,Drone Swarm
476.62,24.1,0.1,64.49,56.53,58.88,Single Drone
87.39,48.07,0.14,42.13,55.77,32.66,Single Drone
939.94,25.23,1.8,96.25,97.23,101.07,Drone Swarm
17.75,5.13,0.04,25.29,38.57,0.0,Bird
757.09,12.24,5.55,104.54,95.26,77.73,Drone Swarm
865.41,12.82,0.36,55.61,63.19,34.42,Single Drone
294.14,31.97,1.89,91.06,88.96,96.37,Drone Swarm
424.76,27.62,0.37,65.75,54.77,40.11,Single Drone
194.16,41.23,0.48,57.68,52.68,27.75,Single Drone
227.41,26.56,4.54,107.5,73.11,105.72,Drone Swarm
87.06,19.52,0.37,42.69,51.24,28.99,Single Drone
182.02,23.18,0.03,15.39,39.21,0.0,Bird
335.03,23.68,2.93,82.14,84.58,78.58,Drone Swarm
44.57,8.3,0.04,23.52,37.74,0.0,Bird
773.8,29.41,0.21,61.26,61.93,25.12,Single Drone
172.73,16.57,0.05,18.5,39.99,0.0,Bird
798.47,38.96,1.75,92.64,97.61,90.65,Drone Swarm
373.87,32.92,1.75,93.34,98.16,91.36,Drone Swarm
123.4,21.84,0.05,18.52,37.2,0.0,Bird
749.23,27.95,0.3,59.72,52.35,55.56,Single Drone
936.31,11.76,5.34,105.62,75.6,99.4,Drone Swarm
195.14,12.6,0.05,13.93,38.31,0.0,Bird
569.15,32.23,0.46,48.5,45.95,28.33,Single Drone
114.26,13.52,0.04,13.21,37.53,0.0,Bird
105.66,34.69,2.2,106.12,71.64,87.12,Drone Swarm
62.93,11.47,0.01,21.42,40.92,0.0,Bird
84.69,10.48,0.03,17.09,40.2,0.0,Bird
83.36,7.63,0.01,22.73,40.33,0.0,Bird
196.21,12.82,0.05,26.76,38.52,0.0,Bird
164.0,17.28,5.41,105.16,78.74,119.7,Drone Swarm
660.02,26.97,2.84,77.71,85.71,98.19,Drone Swarm
427.98,16.11,3.36,108.79,75.78,119.67,Drone Swarm
22.48,19.57,0.02,26.67,41.44,0.0,Bird
12.06,21.11,0.02,29.95,37.71,0.0,Bird
154.01,47.38,0.36,55.81,50.56,48.67,Single Drone
282.42,11.45,0.26,43.18,47.09,33.93,Single Drone
194.2,8.47,0.01,26.03,40.4,0.0,Bird
973.25,43.7,0.42,64.51,61.21,52.92,Single Drone
602.05,17.6,5.47,96.44,78.54,79.96,Drone Swarm
90.83,15.05,0.03,20.49,38.79,0.0,Bird
174.57,21.98,0.04,10.24,39.04,0.0,Bird
69.8,16.25,2.66,89.51,97.76,84.85,Drone Swarm
977.79,13.62,0.47,59.92,63.66,26.39,Single Drone
646.35,17.42,1.61,106.31,83.91,84.01,Drone Swarm
95.2,23.73,0.05,21.32,39.45,0.0,Bird
42.94,12.61,0.04,14.75,38.81,0.0,Bird
197.12,18.21,0.02,23.84,37.84,0.0,Bird
163.25,10.85,0.13,66.53,57.24,29.08,Single Drone
158.18,7.6,0.03,17.85,40.09,0.0,Bird
27.86,5.2,0.01,27.65,37.29,0.0,Bird
105.5,9.6,0.01,22.16,39.78,0.0,Bird
724.64,17.62,3.03,108.93,92.77,98.91,Drone Swarm
64.09,43.59,2.84,95.14,99.56,85.6,Drone Swarm
109.32,9.41,0.03,29.54,37.07,0.0,Bird
495.57,11.97,0.39,62.88,53.13,55.83,Single Drone
766.66,14.56,5.33,89.4,83.6,84.94,Drone Swarm
876.21,15.16,0.18,60.62,61.28,45.95,Single Drone
31.29,6.62,0.02,13.47,37.24,0.0,Bird
482.63,12.88,0.12,55.17,61.98,57.98,Single Drone
583.54,41.4,1.56,108.47,90.48,91.77,Drone Swarm
941.54,24.02,5.48,99.16,77.7,91.57,Drone Swarm
92.33,36.78,2.26,81.33,81.9,83.54,Drone Swarm
873.71,44.28,0.2,68.71,45.45,39.67,Single Drone
415.29,36.56,0.37,44.69,60.62,34.6,Single Drone
182.44,24.9,0.04,15.17,38.48,0.0,Bird
582.0,29.82,5.86,84.86,74.06,113.55,Drone Swarm
17.77,22.88,0.02,23.23,38.35,0.0,Bird
649.1,43.47,0.2,46.91,49.85,27.31,Single Drone
998.85,24.38,0.38,53.24,53.57,21.15,Single Drone
50.18,15.42,0.04,19.36,41.29,0.0,Bird
111.19,24.32,0.03,22.23,38.25,0.0,Bird
194.87,12.95,0.02,14.83,38.82,0.0,Bird
435.2,24.22,0.38,57.68,59.87,39.12,Single Drone
207.22,42.15,0.2,65.18,50.73,55.44,Single Drone
830.75,13.14,0.16,48.61,46.23,31.87,Single Drone
53.56,18.76,0.01,26.42,37.0,0.0,Bird
830.4,28.39,0.31,45.28,47.77,34.57,Single Drone
372.73,36.76,3.71,92.77,78.93,99.37,Drone Swarm
303.71,29.26,1.99,75.06,94.9,74.18,Drone Swarm
496.74,24.48,5.44,82.37,74.72,86.8,Drone Swarm
192.81,24.99,0.03,13.59,40.38,0.0,Bird
601.4,16.29,2.59,93.98,77.11,71.04,Drone Swarm
162.07,32.55,0.15,69.28,59.04,53.88,Single Drone
172.62,47.13,0.49,43.24,55.44,37.29,Single Drone
980.45,42.88,2.14,93.73,82.72,106.35,Drone Swarm
87.95,45.27,0.37,48.1,50.49,36.39,Single Drone
462.8,23.49,0.26,41.76,58.74,26.69,Single Drone
133.87,8.27,0.01,13.59,39.72,0.0,Bird
168.16,23.88,0.05,16.14,40.49,0.0,Bird
417.8,38.53,4.94,82.3,98.01,104.84,Drone Swarm
27.33,5.83,0.04,25.25,40.0,0.0,Bird
189.28,31.74,0.22,46.69,52.66,51.95,Single Drone
273.28,12.19,0.31,50.17,57.31,28.1,Single Drone
430.62,36.12,4.6,97.36,92.58,111.13,Drone Swarm
949.73,43.95,4.05,77.79,87.58,99.72,Drone Swarm
56.07,8.05,0.04,10.8,40.31,0.0,Bird
942.93,43.75,0.4,51.94,45.47,34.42,Single Drone
594.13,40.25,0.28,64.81,54.67,42.87,Single Drone
147.89,20.3,0.05,11.25,41.71,0.0,Bird
42.74,6.59,0.03,21.05,38.16,0.0,Bird
705.09,33.17,5.03,94.27,72.98,94.66,Drone Swarm
353.67,35.16,4.48,96.09,82.22,89.78,Drone Swarm
281.89,31.3,2.93,77.65,95.29,70.84,Drone Swarm
740.93,44.72,4.01,96.63,78.65,94.66,Drone Swarm
197.58,9.87,0.04,11.42,37.98,0.0,Bird
223.75,43.44,4.93,98.58,94.33,105.29,Drone Swarm
128.2,22.26,0.03,29.79,40.79,0.0,Bird
439.97,42.42,5.79,104.84,71.53,110.72,Drone Swarm
299.29,44.1,0.12,45.73,46.72,48.83,Single Drone
56.74,19.15,0.39,67.92,50.4,57.16,Single Drone
567.56,12.54,0.36,43.52,51.46,39.04,Single Drone
486.38,36.77,0.31,53.91,63.88,41.19,Single Drone
539.23,34.34,4.0,107.76,73.89,79.01,Drone Swarm
64.85,16.44,0.04,10.23,39.41,0.0,Bird
581.76,31.85,0.24,53.69,45.78,24.03,Single Drone
458.39,37.52,5.35,76.14,76.13,114.88,Drone Swarm
188.64,10.54,0.03,26.44,39.86,0.0,Bird
84.56,14.0,0.05,23.24,39.56,0.0,Bird
66.07,39.17,0.48,56.99,55.85,48.9,Single Drone
476.59,47.46,0.23,59.21,49.11,49.93,Single Drone
28.46,16.64,0.03,27.91,39.0,0.0,Bird
154.84,31.4,5.16,105.4,72.9,114.73,Drone Swarm
463.23,36.74,4.4,101.53,96.92,112.27,Drone Swarm
342.09,27.08,4.46,103.21,97.53,109.5,Drone Swarm
704.2,27.13,3.44,80.22,95.3,95.81,Drone Swarm
165.24,14.05,0.16,64.18,53.51,46.89,Single Drone
530.68,43.99,2.33,103.21,79.53,94.81,Drone Swarm
100.45,5.52,0.03,17.95,39.14,0.0,Bird
145.42,41.8,1.85,107.87,88.26,73.52,Drone Swarm
73.69,12.64,0.02,19.55,38.0,0.0,Bird
122.16,12.53,4.01,107.64,70.59,83.12,Drone Swarm
348.05,37.65,1.73,106.04,86.6,81.73,Drone Swarm
12.16,18.79,0.03,20.01,40.46,0.0,Bird
151.75,7.13,0.03,22.72,41.98,0.0,Bird
394.97,26.34,4.04,109.54,91.59,87.25,Drone Swarm
362.4,33.9,2.81,108.4,76.96,97.23,Drone Swarm
142.38,12.82,0.04,18.65,37.36,0.0,Bird
606.92,46.03,0.3,64.95,46.69,23.68,Single Drone
825.25,30.46,0.18,61.61,48.25,34.54,Single Drone
723.05,16.03,5.69,82.16,95.51,88.43,Drone Swarm
528.93,40.86,0.27,40.01,46.77,38.12,Single Drone
149.92,20.49,0.05,29.39,39.72,0.0,Bird
895.47,16.35,5.35,97.93,91.02,104.13,Drone Swarm
127.81,24.19,0.03,13.69,37.05,0.0,Bird
646.32,25.14,3.97,80.95,72.6,97.35,Drone Swarm
129.06,10.72,0.46,58.68,51.08,36.12,Single Drone
189.76,19.52,0.02,11.4,41.07,0.0,Bird
81.73,42.57,3.13,101.44,73.0,72.67,Drone Swarm
703.38,11.91,0.27,53.45,48.15,51.75,Single Drone
780.73,37.12,2.66,108.32,96.61,88.06,Drone Swarm
375.19,20.24,3.32,105.09,96.72,101.13,Drone Swarm
802.61,26.38,3.86,95.58,70.72,111.35,Drone Swarm
82.71,43.46,0.4,48.95,46.52,29.7,Single Drone
53.44,16.35,0.04,12.94,38.07,0.0,Bird
747.42,20.56,4.71,102.4,95.99,108.93,Drone Swarm
506.53,32.0,0.32,65.8,51.54,20.47,Single Drone
290.2,49.0,0.21,63.76,57.68,43.5,Single Drone
750.56,46.23,0.35,64.12,49.29,45.23,Single Drone
734.43,28.09,0.44,55.31,49.43,25.75,Single Drone
297.11,25.2,2.49,93.84,90.59,82.89,Drone Swarm
846.42,10.04,2.77,87.63,91.29,104.01,Drone Swarm
203.38,42.98,0.3,54.03,60.23,48.19,Single Drone
82.66,49.94,0.35,40.68,54.21,50.57,Single Drone
370.12,23.13,3.99,77.64,78.31,105.21,Drone Swarm
105.86,32.39,4.08,87.09,97.9,84.85,Drone Swarm
171.82,20.89,4.01,78.46,77.46,119.7,Drone Swarm
718.88,44.23,5.7,108.29,79.66,103.5,Drone Swarm
208.18,20.13,0.49,61.3,46.38,44.57,Single Drone
984.53,44.71,0.32,53.24,57.22,37.11,Single Drone
143.18,5.6,0.03,17.78,38.4,0.0,Bird
142.73,13.59,0.27,46.44,49.09,38.23,Single Drone
14.62,14.46,0.02,29.2,40.83,0.0,Bird
187.65,37.65,2.39,89.82,86.93,70.8,Drone Swarm
24.63,8.08,0.05,22.27,39.88,0.0,Bird
181.84,21.54,4.7,81.75,81.26,109.49,Drone Swarm
111.8,19.87,0.04,20.05,38.9,0.0,Bird
64.44,5.66,0.03,28.04,38.73,0.0,Bird
171.72,7.35,0.04,22.11,38.7,0.0,Bird
729.35,38.78,4.95,89.66,86.53,110.89,Drone Swarm
509.68,21.93,0.34,56.7,54.84,55.66,Single Drone
141.86,48.66,0.48,42.24,53.08,44.76,Single Drone
54.12,13.32,0.03,10.14,38.16,0.0,Bird
811.75,20.34,0.2,43.81,55.02,51.54,Single Drone
553.74,22.83,4.9,81.91,80.67,87.25,Drone Swarm
590.75,26.55,0.11,42.69,64.97,41.67,Single Drone
743.28,43.48,5.38,83.42,90.98,116.38,Drone Swarm
161.89,20.31,0.02,11.67,41.88,0.0,Bird
130.13,9.49,0.02,23.68,38.37,0.0,Bird
174.72,47.85,0.35,47.57,55.88,35.66,Single Drone
500.59,38.29,0.2,45.78,56.79,49.0,Single Drone
992.04,44.47,0.22,41.62,58.68,41.07,Single Drone
189.91,36.03,5.95,76.34,88.68,99.1,Drone Swarm
133.35,18.02,0.05,13.12,39.6,0.0,Bird
899.24,42.35,0.11,55.26,52.03,32.38,Single Drone
752.6,32.49,0.46,47.4,50.93,34.53,Single Drone
154.71,22.62,0.02,11.28,41.26,0.0,Bird
930.26,49.11,0.27,63.31,63.16,46.05,Single Drone
610.29,26.23,2.84,104.51,79.57,112.17,Drone Swarm
85.59,13.06,0.01,17.6,41.81,0.0,Bird
348.53,12.94,3.89,95.78,74.49,86.39,Drone Swarm
646.63,34.8,0.48,60.15,50.27,43.41,Single Drone
132.64,24.36,0.01,22.33,40.51,0.0,Bird
997.9,31.46,4.81,87.73,87.27,86.57,Drone Swarm
100.11,41.03,0.47,53.3,46.42,26.46,Single Drone
987.57,34.95,5.02,81.8,79.77,103.52,Drone Swarm
15.97,6.16,0.05,11.85,40.16,0.0,Bird
142.24,17.87,0.02,23.23,37.89,0.0,Bird
733.28,13.97,0.42,52.32,51.11,20.33,Single Drone
55.31,13.2,5.97,91.01,89.23,112.12,Drone Swarm
176.59,14.52,0.02,18.68,37.49,0.0,Bird
962.71,26.71,0.31,69.04,46.17,56.2,Single Drone
198.11,20.95,0.03,20.16,41.42,0.0,Bird
276.81,49.87,0.27,43.45,57.52,58.1,Single Drone
556.54,20.52,3.28,99.56,94.08,106.12,Drone Swarm
76.35,22.43,0.03,20.11,37.93,0.0,Bird
406.56,21.49,0.11,43.79,54.3,20.23,Single Drone
613.97,30.01,3.8,87.57,98.02,112.52,Drone Swarm
698.54,32.53,0.35,69.46,57.09,28.4,Single Drone
36.13,15.83,0.03,23.7,38.53,0.0,Bird
143.52,24.92,2.61,107.24,77.14,106.72,Drone Swarm
103.41,10.15,0.04,27.78,39.21,0.0,Bird
87.93,44.98,0.46,57.54,52.56,26.73,Single Drone
836.78,20.74,0.5,59.77,54.38,50.69,Single Drone
182.23,20.21,0.04,18.05,38.96,0.0,Bird
532.5,39.3,4.09,102.02,95.11,101.69,Drone Swarm
125.1,23.39,0.02,11.0,39.3,0.0,Bird
129.59,21.36,0.02,13.07,37.81,0.0,Bird
703.77,13.59,5.48,99.04,78.08,117.24,Drone Swarm
61.44,9.27,0.05,13.64,37.66,0.0,Bird
440.59,22.81,0.34,53.25,48.78,56.12,Single Drone
96.83,31.55,5.87,102.44,80.04,102.18,Drone Swarm
156.74,17.66,0.01,21.27,40.99,0.0,Bird
717.64,24.01,4.12,103.68,78.17,94.48,Drone Swarm
406.48,25.99,5.9,84.41,87.67,100.3,Drone Swarm
152.05,20.39,0.02,25.14,37.18,0.0,Bird
340.11,13.54,3.57,96.99,92.59,90.12,Drone Swarm
642.44,38.37,3.52,89.31,72.88,73.81,Drone Swarm
53.73,35.37,2.52,109.48,85.45,96.2,Drone Swarm
576.14,44.59,3.97,82.6,90.93,110.65,Drone Swarm
206.34,29.32,0.3,69.59,45.61,29.2,Single Drone
39.14,8.0,0.04,14.29,37.53,0.0,Bird
758.78,22.21,4.45,98.19,87.07,111.51,Drone Swarm
380.43,48.75,0.32,56.95,64.41,35.77,Single Drone
193.66,5.65,0.04,18.24,37.6,0.0,Bird
95.92,10.86,0.01,14.42,39.52,0.0,Bird
917.16,42.09,0.26,48.5,52.86,22.92,Single Drone
165.03,29.61,3.59,96.47,82.05,85.71,Drone Swarm
97.88,9.02,0.01,10.01,38.66,0.0,Bird
18.61,12.42,0.02,14.05,39.77,0.0,Bird
143.37,7.85,0.04,16.67,37.63,0.0,Bird
152.08,22.64,0.11,59.77,63.76,48.27,Single Drone
299.36,27.07,4.97,106.26,98.08,84.58,Drone Swarm
34.24,23.74,0.03,14.09,37.84,0.0,Bird
768.38,24.03,0.3,56.73,53.05,42.82,Single Drone
120.31,23.56,0.04,28.67,37.2,0.0,Bird
159.78,20.84,3.54,91.25,83.9,94.17,Drone Swarm
795.22,43.18,1.54,95.68,73.34,72.17,Drone Swarm
423.12,32.97,5.56,79.52,70.36,74.0,Drone Swarm
911.64,46.13,0.44,61.71,56.1,24.65,Single Drone
510.25,44.1,4.54,82.59,93.19,92.06,Drone Swarm
123.06,10.19,0.04,17.49,37.62,0.0,Bird
189.98,8.54,0.02,22.99,41.89,0.0,Bird
62.61,18.24,0.02,26.9,41.38,0.0,Bird
59.34,38.56,0.26,66.2,63.36,48.56,Single Drone
831.85,49.57,0.46,63.19,52.98,51.77,Single Drone
184.01,44.52,5.68,91.5,81.23,116.23,Drone Swarm
731.4,40.28,0.21,49.99,54.85,30.67,Single Drone
54.41,42.91,3.41,97.78,70.23,85.85,Drone Swarm
821.63,20.13,5.15,101.63,73.06,77.78,Drone Swarm
137.6,16.0,0.03,19.69,40.25,0.0,Bird
184.47,31.59,4.54,76.8,97.24,118.39,Drone Swarm
772.03,31.63,0.38,65.45,59.83,56.11,Single Drone
108.48,14.1,0.03,10.36,38.94,0.0,Bird
485.01,23.18,0.46,53.5,54.21,45.91,Single Drone
617.75,21.45,4.4,87.32,97.55,117.95,Drone Swarm
103.79,15.24,0.31,61.28,58.94,43.09,Single Drone
40.96,19.51,0.04,20.14,41.79,0.0,Bird
542.11,11.41,0.17,47.5,59.82,30.97,Single Drone
10.96,10.47,0.02,18.78,37.43,0.0,Bird
25.53,11.49,0.04,25.95,37.55,0.0,Bird
955.16,19.56,2.37,108.48,76.78,84.07,Drone Swarm
989.87,33.08,3.58,106.33,70.8,112.64,Drone Swarm
590.84,18.87,0.19,45.1,64.12,31.92,Single Drone
408.14,14.09,0.4,41.91,56.04,20.58,Single Drone
516.08,36.43,3.69,103.66,71.0,95.2,Drone Swarm
174.76,10.84,5.28,86.41,72.31,108.92,Drone Swarm
47.24,13.04,0.03,11.54,37.2,0.0,Bird
597.92,12.27,1.92,89.42,91.68,91.59,Drone Swarm
169.39,20.29,0.04,19.16,41.27,0.0,Bird
301.92,25.74,5.32,77.44,81.36,96.87,Drone Swarm
50.46,9.74,0.04,26.45,38.44,0.0,Bird
866.55,36.45,2.45,87.08,74.26,93.96,Drone Swarm
129.92,13.19,0.02,14.45,37.95,0.0,Bird
368.46,40.24,4.17,97.07,75.58,75.82,Drone Swarm
451.8,13.02,0.47,62.61,54.25,29.24,Single Drone
79.25,13.7,3.62,84.03,72.37,77.87,Drone Swarm
325.24,43.64,0.31,60.21,53.97,49.16,Single Drone
529.41,25.15,0.24,42.91,59.69,51.98,Single Drone
753.63,22.2,0.27,52.45,60.03,52.29,Single Drone
974.85,28.08,2.16,88.98,83.32,88.8,Drone Swarm
971.33,44.95,0.28,65.65,61.92,31.66,Single Drone
56.2,24.84,0.04,18.06,40.45,0.0,Bird
130.72,25.77,0.29,60.8,51.3,36.39,Single Drone
163.88,9.32,0.02,15.55,37.98,0.0,Bird
20.94,24.73,0.02,26.74,38.58,0.0,Bird
197.51,10.74,0.02,23.52,41.23,0.0,Bird
859.6,43.95,3.68,109.84,78.15,72.3,Drone Swarm
858.87,30.31,2.63,80.29,97.07,103.08,Drone Swarm
214.02,19.48,4.82,86.85,96.76,112.77,Drone Swarm
232.28,11.52,4.42,76.42,92.02,81.93,Drone Swarm
236.4,16.98,1.66,78.63,77.96,103.09,Drone Swarm
288.2,42.03,2.1,76.49,81.95,97.15,Drone Swarm
88.01,14.8,2.26,89.7,83.71,104.51,Drone Swarm
62.07,6.17,0.02,25.15,38.71,0.0,Bird
45.06,14.3,0.04,23.46,41.29,0.0,Bird
861.84,31.14,2.71,90.18,88.27,75.58,Drone Swarm
751.62,19.74,0.15,60.32,59.78,48.7,Single Drone
368.01,44.2,4.02,86.36,88.53,80.16,Drone Swarm
586.2,41.56,0.33,47.37,52.28,55.11,Single Drone
222.68,42.31,0.48,62.0,54.27,37.27,Single Drone
667.68,46.8,0.33,60.33,59.36,59.06,Single Drone
786.87,31.47,4.51,76.01,78.0,107.32,Drone Swarm
399.96,35.43,3.42,81.64,91.51,88.0,Drone Swarm
403.44,21.12,0.12,61.12,45.16,49.82,Single Drone
161.2,14.98,0.01,25.83,38.96,0.0,Bird
530.63,12.21,0.25,47.58,64.09,34.76,Single Drone
517.4,10.4,0.15,69.17,63.58,32.72,Single Drone
967.5,17.49,4.3,99.13,97.61,110.41,Drone Swarm
138.66,16.73,3.59,81.12,98.24,71.86,Drone Swarm
593.54,41.75,2.49,83.79,72.14,108.13,Drone Swarm
116.58,22.68,0.05,20.11,41.43,0.0,Bird
104.69,21.24,0.03,19.18,39.74,0.0,Bird
56.62,21.8,0.02,10.57,38.46,0.0,Bird
136.84,10.48,0.02,14.6,40.73,0.0,Bird
640.79,37.36,4.18,80.93,77.14,77.9,Drone Swarm
119.49,12.07,0.05,26.37,41.55,0.0,Bird
344.43,36.7,5.72,86.03,70.82,91.58,Drone Swarm
609.81,41.78,3.21,90.85,79.94,70.38,Drone Swarm
345.84,12.05,1.88,87.02,92.15,92.07,Drone Swarm
26.12,24.4,0.03,16.84,41.37,0.0,Bird
190.46,17.16,0.04,26.95,39.92,0.0,Bird
156.54,12.69,0.02,28.93,39.15,0.0,Bird
419.67,39.86,1.54,94.66,76.35,109.5,Drone Swarm
104.7,19.17,0.03,29.99,37.84,0.0,Bird
194.28,12.03,0.02,15.37,41.45,0.0,Bird
679.2,25.34,0.48,55.42,48.73,57.48,Single Drone
73.57,22.31,2.17,107.41,74.02,104.46,Drone Swarm
500.71,48.64,0.44,45.57,57.94,44.49,Single Drone
92.02,6.75,0.04,10.61,38.92,0.0,Bird
591.22,37.73,2.67,90.64,91.39,86.6,Drone Swarm
551.78,28.4,0.26,54.12,45.68,42.51,Single Drone
440.56,20.49,0.27,40.35,53.03,33.1,Single Drone
691.47,44.6,0.16,52.38,48.24,53.08,Single Drone
145.54,20.12,0.04,25.01,37.6,0.0,Bird
165.44,24.92,5.43,95.94,79.0,92.53,Drone Swarm
356.67,46.61,0.23,57.89,57.18,40.52,Single Drone
172.49,33.57,2.75,82.04,78.21,71.79,Drone Swarm
96.36,15.89,0.05,15.54,39.77,0.0,Bird
689.75,35.97,0.45,44.93,64.99,36.81,Single Drone
715.82,31.79,0.18,59.9,54.22,39.68,Single Drone
460.42,41.58,4.0,103.97,76.41,95.49,Drone Swarm
597.97,38.37,0.22,41.56,49.52,50.29,Single Drone
144.19,9.04,0.03,28.56,41.96,0.0,Bird
338.55,27.51,0.47,60.75,50.44,27.82,Single Drone
471.72,18.12,4.9,104.09,87.91,104.63,Drone Swarm
16.94,20.1,0.02,17.09,37.73,0.0,Bird
92.36,43.4,0.19,56.6,63.2,34.28,Single Drone
70.95,21.64,0.04,28.54,38.2,0.0,Bird
71.81,17.55,0.03,29.03,41.96,0.0,Bird
161.89,18.02,0.01,12.86,37.31,0.0,Bird
164.45,11.23,0.04,15.57,38.34,0.0,Bird
599.99,44.44,1.88,93.84,80.03,100.66,Drone Swarm
45.12,5.43,0.01,15.29,38.01,0.0,Bird
995.86,28.62,0.46,49.59,63.72,44.01,Single Drone
721.27,42.71,0.42,53.45,52.34,49.16,Single Drone
117.32,21.84,0.01,18.06,41.59,0.0,Bird
355.96,31.88,0.13,58.53,61.26,29.61,Single Drone
113.87,22.4,0.03,17.95,41.25,0.0,Bird
148.86,9.78,0.01,15.22,41.6,0.0,Bird
60.42,33.9,1.79,75.3,74.49,82.57,Drone Swarm
120.27,19.98,1.51,87.99,93.23,89.78,Drone Swarm
500.65,11.16,3.01,76.41,94.24,89.51,Drone Swarm
264.5,43.44,0.33,63.5,53.04,53.36,Single Drone
107.22,18.3,0.01,19.17,41.01,0.0,Bird
914.12,28.43,0.36,53.88,51.21,34.02,Single Drone
429.18,44.62,4.04,78.99,84.05,89.03,Drone Swarm
952.46,26.48,3.63,78.12,87.82,104.2,Drone Swarm
250.42,32.11,0.18,53.5,59.51,31.49,Single Drone
159.18,14.48,0.02,17.48,41.12,0.0,Bird
480.36,18.3,4.75,102.16,80.84,104.27,Drone Swarm
171.35,10.47,0.01,24.65,38.26,0.0,Bird
768.79,24.94,4.44,75.59,71.95,96.09,Drone Swarm
161.68,9.84,0.04,26.87,39.01,0.0,Bird
220.65,12.72,2.06,96.24,88.01,73.36,Drone Swarm
821.05,33.7,0.24,40.09,47.24,30.06,Single Drone
56.99,43.73,0.29,56.44,52.34,43.22,Single Drone
973.94,44.18,0.46,67.22,52.94,30.16,Single Drone
